dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	ref_value
IR92689-SUB-SUB-92-1-B-9	IR92689-SUB-SUB-92-1-B		F1					IR92689-SUB-SUB-92-1-B		0
IRBB60-1	IRBB60		F1					IRBB60		1
IRBB60-1-a	IRBB60-1		F1					IRBB60-1		0
IRBB60-2	IRBB60		F1					IRBB60		0
IRBB60-2-a	IRBB60-2		F1					IRBB60-2		0
IRBL9-W-Co--1	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--10	IRBL9-W-Co		F1					IRBL9-W-Co		0
IRBL9-W-Co--11	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--12	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--2	IRBL9-W-Co		F1					IRBL9-W-Co		0
IRBL9-W-Co--3	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--4	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--5	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--6	IRBL9-W-Co		F1					IRBL9-W-Co		0
IRBL9-W-Co--7	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--8	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRBL9-W-Co--9	IRBL9-W-Co		F1					IRBL9-W-Co		1
IRRI154-1	IRRI154		F1					IRRI154		1
IRRI154-10	IRRI154		F1					IRRI154		1
IRRI154-11	IRRI154		F1					IRRI154		1
IRRI154-12	IRRI154		F1					IRRI154		1
IRRI154-2	IRRI154		F1					IRRI154		1
IRRI154-3	IRRI154		F1					IRRI154		0
IRRI154-4	IRRI154		F1					IRRI154		1
IRRI154-5	IRRI154		F1					IRRI154		0
IRRI154-6	IRRI154		F1					IRRI154		0
IRRI154-7	IRRI154		F1					IRRI154		0
IRRI154-8	IRRI154		F1					IRRI154		0
IRRI154-9	IRRI154		F1					IRRI154		0
Khumal-13-1	Khumal-13		F1					Khumal-13		1
Khumal-13-10	Khumal-13		F1					Khumal-13		0
Khumal-13-11	Khumal-13		F1					Khumal-13		1
Khumal-13-12	Khumal-13		F1					Khumal-13		0
Khumal-13-2	Khumal-13		F1					Khumal-13		0
Khumal-13-3	Khumal-13		F1					Khumal-13		1
Khumal-13-4	Khumal-13		F1					Khumal-13		0
Khumal-13-5	Khumal-13		F1					Khumal-13		1
Khumal-13-6	Khumal-13		F1					Khumal-13		1
Khumal-13-7	Khumal-13		F1					Khumal-13		1
Khumal-13-8	Khumal-13		F1					Khumal-13		0
Khumal-13-9	Khumal-13		F1					Khumal-13		0
Lekalidhan-1-1	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-10	Lekalidhan-1		F1					Lekalidhan-1		1
Lekalidhan-1-11	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-12	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-2	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-3	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-4	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-5	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-6	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-7	Lekalidhan-1		F1					Lekalidhan-1		0
Lekalidhan-1-8	Lekalidhan-1		F1					Lekalidhan-1		1
Lekalidhan-1-9	Lekalidhan-1		F1					Lekalidhan-1		1
Lekalidhan-3-1	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-10	Lekalidhan-3		F1					Lekalidhan-3		1
Lekalidhan-3-11	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-12	Lekalidhan-3		F1					Lekalidhan-3		1
Lekalidhan-3-2	Lekalidhan-3		F1					Lekalidhan-3		1
Lekalidhan-3-3	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-4	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-5	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-6	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-7	Lekalidhan-3		F1					Lekalidhan-3		0
Lekalidhan-3-8	Lekalidhan-3		F1					Lekalidhan-3		1
Lekalidhan-3-9	Lekalidhan-3		F1					Lekalidhan-3		0
Mineasahi-1-a	Mineasahi-1		F1					Mineasahi-1		0
Mineasahi-1-b	Mineasahi-1		F1					Mineasahi-1		0
Mineasahi-1-c	Mineasahi-1		F1					Mineasahi-1		0
Mineasahi-1-d	Mineasahi-1		F1					Mineasahi-1		0
Mineasahi-2-a	Mineasahi-2		F1					Mineasahi-2		0
Mineasahi-2-b	Mineasahi-2		F1					Mineasahi-2		0
Mineasahi-2-d	Mineasahi-2		F1					Mineasahi-2		0
Mineashai-1	Mineashai		F1					Mineashai		1
Mineashai-10	Mineashai		F1					Mineashai		1
Mineashai-11	Mineashai		F1					Mineashai		0
Mineashai-12	Mineashai		F1					Mineashai		0
Mineashai-2	Mineashai		F1					Mineashai		1
Mineashai-3	Mineashai		F1					Mineashai		1
Mineashai-4	Mineashai		F1					Mineashai		1
Mineashai-5	Mineashai		F1					Mineashai		0
Mineashai-6	Mineashai		F1					Mineashai		0
Mineashai-7	Mineashai		F1					Mineashai		0
Mineashai-8	Mineashai		F1					Mineashai		0
Mineashai-9	Mineashai		F1					Mineashai		0
Nania-1	Nania		F1					Nania		1
Nania-10	Nania		F1					Nania		1
Nania-11	Nania		F1					Nania		1
Nania-12	Nania		F1					Nania		1
Nania-2	Nania		F1					Nania		1
Nania-3	Nania		F1					Nania		1
Nania-4	Nania		F1					Nania		1
Nania-5	Nania		F1					Nania		0
Nania-6	Nania		F1					Nania		1
Nania-7	Nania		F1					Nania		1
Nania-8	Nania		F1					Nania		1
Nania-9	Nania		F1					Nania		1
PYT-Cold--1	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--10	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--11	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--12	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--2	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--3	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--4	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--5	PYT-Cold		F1					PYT-Cold		0
PYT-Cold--6	PYT-Cold		F1					PYT-Cold		0
PYT-Cold--7	PYT-Cold		F1					PYT-Cold		1
PYT-Cold--8	PYT-Cold		F1					PYT-Cold		1
