dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	ref_value
12539-1	12539		F1					12539		0
12539-10	12539		F1					12539		0
12539-11	12539		F1					12539		0
12539-12	12539		F1					12539		0
12539-2	12539		F1					12539		0
12539-3	12539		F1					12539		0
12539-4	12539		F1					12539		0
12539-5	12539		F1					12539		0
12539-6	12539		F1					12539		0
12539-7	12539		F1					12539		0
12539-8	12539		F1					12539		0
12539-9	12539		F1					12539		0
12540-1	12540		F1					12540		1
12540-10	12540		F1					12540		1
12540-2	12540		F1					12540		1
12540-3	12540		F1					12540		1
12540-4	12540		F1					12540		1
12540-5	12540		F1					12540		1
12540-6	12540		F1					12540		0
12540-7	12540		F1					12540		0
12540-8	12540		F1					12540		0
12540-9	12540		F1					12540		0
12541-1	12541		F1					12541		0
12541-10	12541		F1					12541		0
12541-11	12541		F1					12541		1
12541-12	12541		F1					12541		1
12541-2	12541		F1					12541		1
12541-3	12541		F1					12541		1
12541-4	12541		F1					12541		1
12541-5	12541		F1					12541		0
12541-6	12541		F1					12541		1
12541-7	12541		F1					12541		0
12541-8	12541		F1					12541		1
12541-9	12541		F1					12541		1
12542-1	12542		F1					12542		0
12542-10	12542		F1					12542		0
12542-11	12542		F1					12542		0
12542-12	12542		F1					12542		0
12542-2	12542		F1					12542		0
12542-3	12542		F1					12542		0
12542-4	12542		F1					12542		0
